Company Name,Address,Website,Company Description,Year Established,Parent Company,Contact Name,Title,Office Phone,Email,Association Memberships - FIDI,Association Memberships - DAB,Association Memberships - Harmony
AQUA Global Logistics WLL,"Off. No. 604, 6th Floor, Markaz Almana Building, Street 310
Old Airport Road
Doha
Qatar",http://www.aquagloballogistics.com,"Aqua Global Logistics - was incorporated in December 2010 and has since then established itself as a strong and reliable logistics service provider in Middle East. We at Aqua Global Logistics cater to different segments - corporate and individual for handling moves Internationally, Regionally and Locally offering a complete range of services with regards to packing and Moving industries. Right from the moment of first interaction to quote for a move till the final transition of goods at the other end. Our Services From/To Qatar, Bahrain & Oman (GCC) 1. Packing and moving of Household Goods both Exports / Import : From GCC to any Other Country 2. Storage : Storage of Personal and Household Goods at our facility 3. Pet Relocation 4. Vehicle Relocation 5. Insurance : Transit and Storage Insurance for Household Goods. With 25+ years of Cumulative Professional experience, our team can offer personalized experience to the customers and handle any situation with utmost care.",2012,Linkindia Logistics Pvt. Ltd.,KS Shankarraman  ,CEO,91 77012445Cell Phone:91 39033628  ,ceo@linkindia.in  ,,,
AQUA Relocations WLL,"Unit 64, GEMS Building, BIIP
Hidd
Manama
Bahrain",https://aquarelocations.com/,"We are a company with diverse interests in Logistics, Shipping & Freight Forwarding. Headquartered in Bahrain with presence across the Middle east and in India, Aqua Global brings with it over 20 years of experience in shipping services across the region.",2010,Linkindia Logistics Pvt. Ltd.,Sanjay Chedayan  ,Manager,,mgrcs.bhn@aquarelocations.com  ,,,
AQUA Relocations WLL,"Unit 64, GEMS Building, BIIP
Hidd
Manama
Bahrain",https://aquarelocations.com/,"We are a company with diverse interests in Logistics, Shipping & Freight Forwarding. Headquartered in Bahrain with presence across the Middle east and in India, Aqua Global brings with it over 20 years of experience in shipping services across the region.",2010,Linkindia Logistics Pvt. Ltd.,KS Shankarraman  ,CEO,91 77012445Cell Phone:91 39033628  ,ceo@linkindia.in  ,,,
"ARCA International, Inc","400 Commerce Drive Upper Marlboro, MD, 20774
United States",http://www.arca-intl.com,ARCA International offers innovative transportation solutions to our valued customers and their clients. Our best-in-class coverage means we can handle moves to and from almost anywhere in the world.,2018,,Mindy Cafiero  ,Senior Director International Operations,1 3012507470,mcafiero@arca-intl.com  ,,,
"ARCA International, Inc","400 Commerce Drive Upper Marlboro, MD, 20774
United States",http://www.arca-intl.com,ARCA International offers innovative transportation solutions to our valued customers and their clients. Our best-in-class coverage means we can handle moves to and from almost anywhere in the world.,2018,,Christopher Hood  ,President,1 301-867-0376,chood@arca-intl.com  ,,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Karen Bannon  ,Marketing Manager,1 484-4958Cell Phone:1 484-4958  ,kbannon@arpinintl.com  ,Yes,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Susan Fagan  ,Claim Adjudicator,1 4513765Cell Phone:1 4014513765  ,sfagan@arpinintl.com  ,Yes,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Mark Greene  ,Senior VP,1 4017143224Cell Phone:1 4017143224  ,gsa@arpinintl.com  ,Yes,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Michael Hughes  ,Vice President Global Business DevelopmentCell Phone:1 7184270438  ,,mhughes@arpinintl.com  ,Yes,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Sebastian Sommer  ,-,,ssommer@arpinintl.de  ,Yes,,
Arpin International Group,"99 James P. Murphy Hwy West Warwick, RI, 02893
United States",http://www.arpinintl.com,"Arpin International Group is an award-winning full-service moving and storage company specializing in corporate, government, and military customers. With offices in major cities throughout North America, EMEA and APAC regions, the company provides a seamless moving experience and the highest quality of care to its customers around the world. Arpin International Group is the global arm of Arpin Group. Its sister companies include Arpin Moving, Inc., Creative Storage Solutions, Arpin Associates, Arpin Renewable Energy, and Arpin Broadcast Network. Arpin International Group is a member of the Customs Trade Partnership Against Terrorism (C-TPAT), the International Movers Association (IAM), the Latin American and Caribbean International Movers Association (LACMA), and the European Relocation Association (EuRA). It is also accredited by FIDI and certified by the EU-U.S. and Swiss-U.S. Privacy Shield Frameworks. For more information: https://www.arpinintl.com",1989,,Matthew Somweber  ,Director,1 885-4600Cell Phone:1 8023453701  ,msomweber@arpinintl.com  ,Yes,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,Bing Arambulo  ,Import Coordinator ,63 285111861Cell Phone:63 9178051695  ,Traffic@Asia-Relocation.com  ,,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,Philibert Challan Belval  ,CEO - FounderCell Phone:63 9175725212  ,,Philibert@Asia-Relocation.com  ,,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,Gresham Deolal  ,Country Manager Philippines,63 288104977Cell Phone:63 917116751  ,managerphilippines@asia-relocation.com  ,,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,Chimvie Dimaculangan  ,Moving Consultant,63 28104977,chimvie@asia-relocation.com  ,,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,George Parreno  ,Moving Consultant,,george@asia-relocation.com  ,,,
Asia Relocation Moving and Storage Inc.,"2A, D’Metyang Bldg.
5064 Burgos St.
corner P. Guanzon St., Poblacion
Makati, Metro Manila, 1210
Philippines",https://asia-relocation.com/,"Introducing Asia Relocation: Your Trusted Partner for International Mobility. With our establishment in the Philippines in 2011, followed by our expansion in Vietnam a decade later, Asia Relocation has become a prominent player in the global Moving and Relocation industry. Our commitment to providing high-quality services has allowed us to forge strong relationships with prestigious entities such as Embassies, Government Offices, and Multinational Corporations in both Vietnam and the Philippines. We have also earned a strong and trusted reputation within the Moving and Relocation industry, leading to our appointment as the preferred service provider for many global counterparts. Rest assured, when you choose Asia Relocation, you are choosing a partner that will handle all your Inbound and Outbound requirements with utmost care and efficiency.",2011,,Caroline Ribay  ,Export Coordinator ,63 288104977Cell Phone:63 9171124539  ,traffic2@asia-relocation.com  ,,,
Asian Tigers Myanmar,"Rm 504, M.M.G. Tower, 44/56
Kannar Road, 41st-42nd St.
Botataung Township
Yangon
Myanmar (Burma)",https://www.asiantigersgroup.com,"We are a leading provider of international relocation solutions, providing comprehensive, end-to-end mobility services tailored to our client's needs. We are a US$130 million organization that relocates more than 16,000 families each year. We have offices in 14 countries, more than 1,400 dedicated professionals, and a global network comprised of the very best moving and relocation companies.",2011,Asian Tigers Limited,Kaung Kaung Sam  ,"Manager, Customer Service",95 250290Cell Phone:95 5116651  ,kaung.sam@asiantigers-myanmar.comSkype:kaung.sam        ,,,
Asian Tigers Myanmar,"Rm 504, M.M.G. Tower, 44/56
Kannar Road, 41st-42nd St.
Botataung Township
Yangon
Myanmar (Burma)",https://www.asiantigersgroup.com,"We are a leading provider of international relocation solutions, providing comprehensive, end-to-end mobility services tailored to our client's needs. We are a US$130 million organization that relocates more than 16,000 families each year. We have offices in 14 countries, more than 1,400 dedicated professionals, and a global network comprised of the very best moving and relocation companies.",2011,Asian Tigers Limited,Ruud von Martels  ,"Director, Business Development",+95 1250290,ruud.vmartels@asiantigers-myanmar.com  ,,,
Atlantic Relocation Systems,"5210 Tacoma Dr Houston, TX, 77041
United States",http://www.atlanticrelocation.com/,The Atlantic group is comprised of twelve full service moving and storage locations throughout the United States. Our core business is government and national account HHG and logistics with services provided nationally and worldwide.,1975,Atlantic Relocation Systems,Chuck Amerson  ,VP General Manager,1 7138562313Cell Phone:1 2814559789  ,chuck.amerson@atlanticrelocation.com  ,,Yes,
Atlantic Relocation Systems,"5210 Tacoma Dr Houston, TX, 77041
United States",http://www.atlanticrelocation.com/,The Atlantic group is comprised of twelve full service moving and storage locations throughout the United States. Our core business is government and national account HHG and logistics with services provided nationally and worldwide.,1975,Atlantic Relocation Systems,John Roller  ,Executive ConsultantCell Phone:1 +17209845104  ,,jmroller@intlmvr.com  ,,Yes,
Atlantic Relocation Systems,"5210 Tacoma Dr Houston, TX, 77041
United States",http://www.atlanticrelocation.com/,The Atlantic group is comprised of twelve full service moving and storage locations throughout the United States. Our core business is government and national account HHG and logistics with services provided nationally and worldwide.,1975,Atlantic Relocation Systems,Jay Strong  ,Corporate VP,1 6789811853Cell Phone:1 317-417-8201  ,jay.strong@atlanticrelocation.com  ,,Yes,
Atlantic Relocation Systems,"835 N 47th Ave Phoenix, AZ, 85043
United States",http://www.atlanticrelocation.com/phoenix/,"Atlantic Relocation Systems has been providing unsurpassed moving services to residents and businesses alike since 1966, as evidenced by our A+ rating with the Better Business Bureau. Whether you need help moving your household furniture, antiques, artwork, or another belonging from your house or apartment building, we have experienced Phoenix movers who can help.",1990,Atlantic Relocation Systems,Raul Nunez  ,VP General Manager,1 6026526680,raul.nunez@atlanticrelocation.com  ,,Yes,
Atlantic Relocation Systems,"835 N 47th Ave Phoenix, AZ, 85043
United States",http://www.atlanticrelocation.com/phoenix/,"Atlantic Relocation Systems has been providing unsurpassed moving services to residents and businesses alike since 1966, as evidenced by our A+ rating with the Better Business Bureau. Whether you need help moving your household furniture, antiques, artwork, or another belonging from your house or apartment building, we have experienced Phoenix movers who can help.",1990,Atlantic Relocation Systems,Brad Pogue  ,Vice President of Network ManagementCell Phone:1 3142676611  ,,Brad.Pogue@atlanticrelocation.com  ,,Yes,
Atlantic Relocation Systems,"835 N 47th Ave Phoenix, AZ, 85043
United States",http://www.atlanticrelocation.com/phoenix/,"Atlantic Relocation Systems has been providing unsurpassed moving services to residents and businesses alike since 1966, as evidenced by our A+ rating with the Better Business Bureau. Whether you need help moving your household furniture, antiques, artwork, or another belonging from your house or apartment building, we have experienced Phoenix movers who can help.",1990,Atlantic Relocation Systems,John Roller  ,Executive ConsultantCell Phone:1 +17209845104  ,,jmroller@intlmvr.com  ,,Yes,
Atlantic Relocation Systems,"835 N 47th Ave Phoenix, AZ, 85043
United States",http://www.atlanticrelocation.com/phoenix/,"Atlantic Relocation Systems has been providing unsurpassed moving services to residents and businesses alike since 1966, as evidenced by our A+ rating with the Better Business Bureau. Whether you need help moving your household furniture, antiques, artwork, or another belonging from your house or apartment building, we have experienced Phoenix movers who can help.",1990,Atlantic Relocation Systems,Jay Strong  ,Corporate VP,1 6789811853Cell Phone:1 317-417-8201  ,jay.strong@atlanticrelocation.com  ,,Yes,
Atlantic Relocation Systems,"2181 New Market Parkway SE Marietta, GA, 30067
United States",http://www.atlanticrelocation.com,"Homeowners and Fortune 500 companies alike turn to Atlantic Relocation Systems when they want professional movers with the expertise and resources to get the job done right. With highly experienced moving coordinators and specially trained moving teams, we are the moving company you can truly depend on for successful moves of any size and scope. We have 12 locations across the country and can handle moves from anywhere to anywhere nationwide, and even internationally. Our exceptional moving services are further bolstered by our standing as an agent of Atlas Van Lines – a world-renowned leader in moving and logistics.",1966,,John Roller  ,Executive ConsultantCell Phone:1 +17209845104  ,,jmroller@intlmvr.com  ,Yes,Yes,
Atlantic Relocation Systems,"2181 New Market Parkway SE Marietta, GA, 30067
United States",http://www.atlanticrelocation.com,"Homeowners and Fortune 500 companies alike turn to Atlantic Relocation Systems when they want professional movers with the expertise and resources to get the job done right. With highly experienced moving coordinators and specially trained moving teams, we are the moving company you can truly depend on for successful moves of any size and scope. We have 12 locations across the country and can handle moves from anywhere to anywhere nationwide, and even internationally. Our exceptional moving services are further bolstered by our standing as an agent of Atlas Van Lines – a world-renowned leader in moving and logistics.",1966,,Jay Strong  ,Corporate VP,1 6789811853Cell Phone:1 317-417-8201  ,jay.strong@atlanticrelocation.com  ,Yes,Yes,
Atlantic Relocation Systems,"1624 Diplomat Drive Carrollton, TX, 75006
United States",http://www.atlanticrelocation.com/,"For trusted Dallas movers that are equipped to handle any type of moving service you require, turn to Atlantic Relocation Systems. Since our group began in 1966, we have continually proven to be leaders in virtually all moving services.",1982,Atlantic Relocation Systems,John Roller  ,Executive ConsultantCell Phone:1 +17209845104  ,,jmroller@intlmvr.com  ,,Yes,
Atlantic Relocation Systems,"1624 Diplomat Drive Carrollton, TX, 75006
United States",http://www.atlanticrelocation.com/,"For trusted Dallas movers that are equipped to handle any type of moving service you require, turn to Atlantic Relocation Systems. Since our group began in 1966, we have continually proven to be leaders in virtually all moving services.",1982,Atlantic Relocation Systems,Jay Strong  ,Corporate VP,1 6789811853Cell Phone:1 317-417-8201  ,jay.strong@atlanticrelocation.com  ,,Yes,
Atlantis International,"Estrada da Pedra, 3520
Guaratiba
Rio de Janeiro, 23520-395
Brazil",http://www.atlantisbrazil.com,"Atlantis Moving Logistics and Relocations offers the very best service and know-how available today, in all aspects of moving and logistics. With decades of experience, we are a leading provider of international shipping solutions, and have proved that helping our customers moving their shipments across the world can be a trouble-free and pleasant experience.",1993,,Vital Dantas  ,Account Executive,55 2198300-0111,vital@atlantisbrazil.com  ,,,
Atlantis International,"Estrada da Pedra, 3520
Guaratiba
Rio de Janeiro, 23520-395
Brazil",http://www.atlantisbrazil.com,"Atlantis Moving Logistics and Relocations offers the very best service and know-how available today, in all aspects of moving and logistics. With decades of experience, we are a leading provider of international shipping solutions, and have proved that helping our customers moving their shipments across the world can be a trouble-free and pleasant experience.",1993,,Carolina Dias  ,Rates,,carolinadias@atlantisbrazil.com  ,,,
Atlantis International,"Estrada da Pedra, 3520
Guaratiba
Rio de Janeiro, 23520-395
Brazil",http://www.atlantisbrazil.com,"Atlantis Moving Logistics and Relocations offers the very best service and know-how available today, in all aspects of moving and logistics. With decades of experience, we are a leading provider of international shipping solutions, and have proved that helping our customers moving their shipments across the world can be a trouble-free and pleasant experience.",1993,,Karl Rafael Wollny  ,CEO,,karlwollny@atlantisbrazil.com  ,,,
"Aviomar, SA Expresos Aereos Y Maritimos","Avenida El Dorado 96A 47 Bogota
Colombia",http://www.aviomar.com.co,"Aviomar S.A.S. is an integral logistic operator, globally recognized for its professionalism, responsibility and compliance. Specialized in moving, ocean and air transportation and multimodal cargo as well as special projects, it has an extensive network of agents in all continents ensuring satisfaction in export-import operations of commercial and industrial cargo moving, household effects and supplies.",1959,,Miguel Florez  ,General Manager,,mflorez@aviomar.com.co  ,Yes,,
"Aviomar, SA Expresos Aereos Y Maritimos","Avenida El Dorado 96A 47 Bogota
Colombia",http://www.aviomar.com.co,"Aviomar S.A.S. is an integral logistic operator, globally recognized for its professionalism, responsibility and compliance. Specialized in moving, ocean and air transportation and multimodal cargo as well as special projects, it has an extensive network of agents in all continents ensuring satisfaction in export-import operations of commercial and industrial cargo moving, household effects and supplies.",1959,,Zenaida Munoz  ,Chief of Commercial Department,57 5551757Cell Phone:57 3132932900  ,zmunoz@aviomar.com.co  ,Yes,,
"Aviomar, SA Expresos Aereos Y Maritimos","Avenida El Dorado 96A 47 Bogota
Colombia",http://www.aviomar.com.co,"Aviomar S.A.S. is an integral logistic operator, globally recognized for its professionalism, responsibility and compliance. Specialized in moving, ocean and air transportation and multimodal cargo as well as special projects, it has an extensive network of agents in all continents ensuring satisfaction in export-import operations of commercial and industrial cargo moving, household effects and supplies.",1959,,Alejandra Patino Mora  ,Marketing Coordinator,57 6015551757Cell Phone:57 3157005910  ,apatino@aviomar.com.co  ,Yes,,
Bliss Moving & Logistics Srl,"Via Prenestina Nuova 307/a
Palestrina
Rome, 00036
Italy",http://www.blissmoving.it,"BLISS Moving & Logistics, part of The Bliss Corporation Group, is one of the fastest growing moving companies in ITALY. Specialized in domestic, international and overseas removals, freight forwarding, storage and logistics services, the company’s primary goal is to gain its client’s full satisfaction. Thanks to its Staff’s long term experience and professionalism achieved in these fields and thanks to the support of an efficient Inegrated and ISO Certified HQSE Management System, Bliss Moving & Logistics offers its clients high professional competence, new and advanced infrastructures and a wide selection of services in order to meet and fulfill any specific need. Today BLISS is a solid, dynamic and distinctive group with over 250 years of collective experience. Our team of over 30 professionals from different multinational backgrounds collaborates to consolidate our presence in the global market and lead us further towards ambitious goals with our Italian and foreign agents.",2008,,Francesco Argiro  ,President & CEO,39 069531751Cell Phone:39 3277872739  ,francesco.argiro@blissmoving.itSkype:francesco.bliss        ,Yes,,Yes
Bliss Moving & Logistics Srl,"Via Prenestina Nuova 307/a
Palestrina
Rome, 00036
Italy",http://www.blissmoving.it,"BLISS Moving & Logistics, part of The Bliss Corporation Group, is one of the fastest growing moving companies in ITALY. Specialized in domestic, international and overseas removals, freight forwarding, storage and logistics services, the company’s primary goal is to gain its client’s full satisfaction. Thanks to its Staff’s long term experience and professionalism achieved in these fields and thanks to the support of an efficient Inegrated and ISO Certified HQSE Management System, Bliss Moving & Logistics offers its clients high professional competence, new and advanced infrastructures and a wide selection of services in order to meet and fulfill any specific need. Today BLISS is a solid, dynamic and distinctive group with over 250 years of collective experience. Our team of over 30 professionals from different multinational backgrounds collaborates to consolidate our presence in the global market and lead us further towards ambitious goals with our Italian and foreign agents.",2008,,Alessandro Mannozzi  ,Global Partner Manager,39 0695317508Cell Phone:39 333861476  ,alessandro.mannozzi@blissmoving.it  ,Yes,,Yes
Bliss Moving & Logistics Srl,"Via Prenestina Nuova 307/a
Palestrina
Rome, 00036
Italy",http://www.blissmoving.it,"BLISS Moving & Logistics, part of The Bliss Corporation Group, is one of the fastest growing moving companies in ITALY. Specialized in domestic, international and overseas removals, freight forwarding, storage and logistics services, the company’s primary goal is to gain its client’s full satisfaction. Thanks to its Staff’s long term experience and professionalism achieved in these fields and thanks to the support of an efficient Inegrated and ISO Certified HQSE Management System, Bliss Moving & Logistics offers its clients high professional competence, new and advanced infrastructures and a wide selection of services in order to meet and fulfill any specific need. Today BLISS is a solid, dynamic and distinctive group with over 250 years of collective experience. Our team of over 30 professionals from different multinational backgrounds collaborates to consolidate our presence in the global market and lead us further towards ambitious goals with our Italian and foreign agents.",2008,,Mark O'Neil  ,Global Partner Manager,39 06953175Cell Phone:39 3406312270  ,mark.oneil@blissmoving.it  ,Yes,,Yes
Bolliger SPA,"Via Piave 26/30
Pero
Milano
Italy",http://www.bolligermoving.com,"Since1909, many international organizations, embassies, multinational corporations and innumerable private clients have trusted us with their household goods. For Bolliger every move is unique. With our experience and our tried and tested personnel",1986,Bolliger Roma Spa,Laura Luisetto  ,Sales Department,,luisetto@bolligermilano.com  ,Yes,,
Bolliger SPA,"Via Piave 26/30
Pero
Milano
Italy",http://www.bolligermoving.com,"Since1909, many international organizations, embassies, multinational corporations and innumerable private clients have trusted us with their household goods. For Bolliger every move is unique. With our experience and our tried and tested personnel",1986,Bolliger Roma Spa,Giovanni Moscarello  ,Marketing Manager,,moscarello@bolligermilano.com  ,Yes,,
Brauns International Inc.,"44258 Mercure Circle #104 Sterling, VA, 20166
United States",http://www.braunsusa.com,"Full OA/DA Services with own operation in the Washington DC area, including Virginia and Maryland. OA/DA via partner agent network throughout the US and worldwide.",1992,,Anne Holtkamp  ,Vice President & Contact for Rates,1 7037296200,anne.holtkamp@brauns-international.com  ,,Yes,
Brimar Relocation Inc International Moving & Shipping,"900 Hope St Ste 1 Stamford, CT, 06907-2329
United States",http://www.brimarrelo.com,"Through fostering relationships with its clientele, BRIMAR’s small, dedicated team has developed a relationship among the internationally mobile community as the goto choice for quality services. Today, BRIMAR is proud to serve a diverse customer base that includes, among others: Executives and Managers at multinational corporations, expatriate families, diplomats and staff at foreign and trade missions, as well as fine art businesses, private collectors, and furniture manufacturers. But, one thing is common: la qualité au quotidien / quality moving every day !",2009,GoMove USA Inc.,Philippe Giffard  ,Partner,1 2036535055Cell Phone:1 2035616597  ,p.giffard@brimarrelo.com  ,,Yes,
Brimar Relocation Inc International Moving & Shipping,"900 Hope St Ste 1 Stamford, CT, 06907-2329
United States",http://www.brimarrelo.com,"Through fostering relationships with its clientele, BRIMAR’s small, dedicated team has developed a relationship among the internationally mobile community as the goto choice for quality services. Today, BRIMAR is proud to serve a diverse customer base that includes, among others: Executives and Managers at multinational corporations, expatriate families, diplomats and staff at foreign and trade missions, as well as fine art businesses, private collectors, and furniture manufacturers. But, one thing is common: la qualité au quotidien / quality moving every day !",2009,GoMove USA Inc.,Ilker Gorsun  ,PresidentCell Phone:1 9176076300  ,,ilker@brimarrelo.com  ,,Yes,
Brimar Relocation Inc International Moving & Shipping,"900 Hope St Ste 1 Stamford, CT, 06907-2329
United States",http://www.brimarrelo.com,"Through fostering relationships with its clientele, BRIMAR’s small, dedicated team has developed a relationship among the internationally mobile community as the goto choice for quality services. Today, BRIMAR is proud to serve a diverse customer base that includes, among others: Executives and Managers at multinational corporations, expatriate families, diplomats and staff at foreign and trade missions, as well as fine art businesses, private collectors, and furniture manufacturers. But, one thing is common: la qualité au quotidien / quality moving every day !",2009,GoMove USA Inc.,Nurcan Ozen  ,Sales VP,1 2036535055Cell Phone:1 6465090486  ,nurcan@brimarrelo.com  ,,Yes,
BTR International Ltd.,"Unit A20, Basepoint Business Centre
110 Great Marlings
Luton, Bedfordshire, LU2 8DL
United Kingdom",http://www.btrinternational.co.uk,"An independent, UK-based provider of corporate relocation solutions, BTR International brings quality assured global capability and relocation expertise to HR and global mobility professionals seeking support in managing a global workforce.",2001,,Malina Badea  ,Global Mobility ConsultantCell Phone:44 7846410918  ,,malina@btrinternational.com  ,Yes,,
